id_operacion;id;no, fmi;dirección territorial;municipio;fecha_envio_juridico;folio_matriz;novedadfmi_tipo;npnmatriz;novedad_numero_predial;folio_derivados;predio tipo;condicion prop derivado;área registral m2;coeficiente;área coefieciente
L4_1043;1043;1043;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380340;Privado_Privado;PH_Unidad_Predial;403.17;0.2;
L4_1044;1044;1044;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380342;Privado_Privado;PH_Unidad_Predial;338.31;0.17;
L4_1045;1045;1045;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380480;Privado_Privado;PH_Unidad_Predial;552.1;0.0;
L4_1046;1046;1046;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380388;Privado_Privado;PH_Unidad_Predial;396.7;0.2;
L4_1047;1047;1047;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380389;Privado_Privado;PH_Unidad_Predial;396.7;0.2;
L4_1048;1048;1048;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380321;Privado_Privado;PH_Unidad_Predial;360.52;0.18;
L4_1049;1049;1049;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380479;Privado_Privado;PH_Unidad_Predial;552.1;0.0;
L4_105;105;105;BOYACÁ;SOGAMOSO;29/09/2025;095-13321;;1,5759E+29;Desenglobe_Division_Material;095-162286;Privado_Privado;PH_Unidad_Predial;60.58;0.15884;60.58
L4_1050;1050;1050;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380341;Privado_Privado;PH_Unidad_Predial;403.17;0.2;
L4_1051;1051;1051;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380478;Privado_Privado;PH_Unidad_Predial;552.1;0.0;
L4_1052;1052;1052;BOLÍVAR;TURBACO;29/09/2025;060-380290;;SIN NPN;Desenglobe_Division_Material;060-380390;Privado_Privado;PH_Unidad_Predial;396.7;0.2;
