"globalid";"altura";"anio_construccion";"area_construccion";"area_privada_construida";"etiqueta";"id_caracteristicasunidadconstru";"id_operacion_predio";"planta_ubicacion";"tipo_planta";"caracteristicasuc_guid";"codigo";"identificador";"observaciones"
{F85BCB08-4A80-472C-90D5-6AE6A1DC4FA1};2;2000,0000;67,2300;;A;"5115760";"6031609";1;Piso;{B33994C0-E6C7-441B-A688-EE7F03A3041D};"634010100000000640020000000000";A;update_Caso 5
{F85D0F44-0BAB-44DC-95F5-3E202BBABCE8};2;2023,0000;12,4987;;CONDOMINIO RESERVA DE LA COLINA ;Dummy;"14053985";1;Piso;{40A92F16-6CD8-47EB-860F-DC85C90D0D56};"634010100000002100012908010030";A;update_Caso 11
{F85E7E3D-0F53-404E-AD2C-99B8A92A9917};2;2010,0000;54,3000;;A;"5121674";"6038323";1;Piso;{A2A18C9B-22B5-4BDE-8072-A46DB70944F4};"634010100000005060002000000000";A;update_Caso 1
{F8604E9A-FEA7-4671-80B7-11A14FAD9B4A};2;2010,0000;63,5999;; ;Dummy;"6034923";2;Piso;{20A65F18-2B57-4FF7-BE1E-D7ADE99B578F};"634010100000002890018000000000";A;update_Caso 11
{F860934D-3557-472A-B824-054D9E1553B1};2;2023,0000;77,3990;; ;Dummy;"6037860";2;Piso;{3652BE55-E003-496D-A2E5-A7031FF644F8};"634010100000004570018000000000";A;update_Caso 11
{F863806A-99DC-4A57-AADB-A00994A69C1D};2;2001,0000;217,0000;;A;"5110811";"6028299";1;Piso;{0B58058C-C09B-417F-AE2D-48D8D8B48391};"634010001000000010801800000396";A;update_Caso 5
{F863EBAC-B888-4ED9-A548-A86196F9C4B1};2;2008,0000;17,6300;;B;"21037724";"6033667";1;Piso;{AAE29F21-5344-4BF4-8B12-036903AF4C80};"634010100000001930008000000000";B;update_Caso 1
{F864DAC1-2950-481E-9059-BA066C8F7DE0};2;2010,0000;51,0002;;Mz 48 Lo 11;Dummy;"6034717";2;Piso;{3C38E1BD-B0A7-45CD-9E29-D36FA3C7D3AE};"634010100000002830026000000000";A;update_Caso 11
{F865F86A-4B5D-4A90-8C6D-E02550F1AC8B};2;2020,0000;110,5100;;B;"21035345";"6031236";1;Piso;{1D8ACC53-3F39-425E-B25C-95425E8CEA19};"634010100000000500024000000000";B;update_Caso 1
{F86DE1B5-F24C-41CE-A5BB-FFA6F4B6A55E};2;1985,0000;117,6000;;A;"5116539";"6032404";1;Piso;{3D190BDA-0A6E-4276-8021-062B0C01D45E};"634010100000001130008000000000";A;update_Caso 5
{F87627F2-7D8F-4ED1-B8D8-62D393CFF4DE};2;2019,0000;11,5520;;"";Dummy;"6028049";1;Piso;{6C37F6AD-9056-44B7-A17E-23486856C676};"634010001000000010055000000000";C;update_Caso 12
{F876319A-6D91-4AAC-93E9-7AF0C92EFC99};2;2001,0000;7,2900;;B;"21042047";"6036220";1;Piso;{DA7AA062-1660-4806-BEC2-EE23F89207FA};"634010100000003350005000000000";B;update_Caso 1
{F8795AA8-8C03-43C8-AF6D-D463CE263710};2;1999,0000;142,0000;;A;"5114049";"6030383";1;Piso;{D30E7781-8088-4891-A99F-A064CF7B75A5};"634010100000000220017000000000";A;update_Caso 5
{F87FCF92-4170-485B-A749-E73563541CB2};2;2019,0000;37,4530;;"";Dummy;"6029012";1;Piso;{2DB9C364-16DA-4004-A36A-4A16E356FF31};"634010001000000040207000000000";B;update_Caso 12
{F8842A77-24ED-4775-B5AA-5FDA3C240587};2;2023,0000;76,8001;;Mz C Lo 11;Dummy;"6038316";2;Piso;{8A9EA818-6410-4126-A1A4-055E24B07601};"634010100000005050011000000000";A;update_Caso 11
{F8847305-F60C-4DAB-A347-FC6A716F2168};2;2013,0000;54,5694;; ;Dummy;"6031768";2;Piso;{B3E2B78B-E3C6-44D6-AFC2-7B247234F7F0};"634010100000000730051000000000";A;update_Caso 11
{F8851AF6-6CFD-4844-B291-175D65F97C6A};2;2010,0000;85,7130;;"";Dummy;"6028505";1;Piso;{DC2ADE68-BD71-4E9B-8FEE-C6DC13D8BE9F};"634010001000000020111000000000";A;update_Caso 12
{F8869FBC-5F94-4F0F-9155-4AFD52170ACF};2;2005,0000;44,8000;;B;"21040422";"6033801";1;Piso;{FC5D7C3A-7DA1-417E-8812-21AEF483CAE8};"634010100000002050801800000014";B;update_Caso 5
{F88EB9D4-645F-4B68-A985-835FC7CC9867};2;1990,0000;6,0000;;E;"5110273";"6028018";1;Piso;{651E9CEA-DEC8-4CF9-A975-8DA86E0AAE51};"634010001000000010010000000000";E;update_Caso 1
{F89156FC-6094-4212-B7C4-E1356AD3F398};2;2010,0000;60,0000;;A;"5119294";"6035529";1;Piso;{6402455D-9DB2-4B6C-A014-2CD927CC92AC};"634010100000003070028000000000";A;update_Caso 1
{F8978460-1280-4AF9-BD1F-C432D2F7C98A};2;2015,0000;9,0000;;C;"11799343";"12538165";1;Piso;{5560DB8F-319C-42CA-A80D-376CCFECEB51};"634010001000000040813800000003";C;update_Caso 1
{F899E1E7-3389-4A2A-A377-777C38E98F0D};2;2003,0000;36,0000;;A;"5121384";"6037798";1;Piso;{843A1E50-9F0B-48DE-85D2-FD93149C89D7};"634010100000004530004000000000";A;update_Caso 1
{F8A21668-9B14-4C79-920F-AF86C0F7D43A};2;2008,0000;171,0000;;A;"5110832";"6028308";0;Piso;{129C14AF-2838-475D-BEBA-06678D34123E};"634010001000000010801800000405";A;update_Caso 3
{F8A2A5FC-8EC6-4EB1-B0C2-DD6A886DF2FE};2;2017,0000;49,7400;;A;"21111956";"14054076";1;Piso;{25DE6FEA-AA1B-42FA-B8C3-241AF11D2210};"634010100000002100012906010005";A;update_Caso 1
{F8ADC16A-B557-4195-B7D3-78025AD33C05};2;1980,0000;45,0000;;D;"5111658";"6028720";1;Piso;{C066333E-1842-46E9-B4BF-ECEB310E14E9};"634010001000000030138000000000";D;update_Caso 5
{F8B915BA-AAB8-4309-B3E7-D5A00B877B07};2;2001,0000;72,0000;;A;"5120000";"6036372";1;Piso;{38F92C12-E7EC-4655-8049-B4E1F464C73F};"634010100000003480003000000000";A;update_Caso 1
{F8C42054-C5DD-48FF-AD0C-9D8B241A289F};2;2019,0000;30,0000;;C;"5111769";"6028755";0;Piso;{DBF59481-F2FA-4FA8-8F5C-7BE447FB9243};"634010001000000030188000000000";C;update_Caso 4
{F8C5E599-C95F-4774-9059-B04CBEAA0246};2;1950,0000;30,0000;;G;"11797726";"6029521";1;Piso;{F401FD5C-3E75-40AF-A65F-71FFCCBE52AF};"634010001000000060082000000000";G;update_Caso 1
