"objectid";"id_operacion";"id";"no, fmi";"dirección territorial";"municipio";"fecha_envio_juridico";"folio_matriz";"divipola";"vereda";"novedadfmi_tipo";"npnmatriz";"novedad_numero_predial";"folio_derivados";"predio tipo";"condicion prop derivado";"área registral m2";"coeficiente";"área coefieciente"
1649567;L11_518;518;518;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-37529";Privado_Privado;NPH;;;
1649692;L11_393;393;393;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-37959";Privado_Privado;NPH;;;
1649691;L11_394;394;394;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-37960";Privado_Privado;NPH;;;
1649566;L11_519;519;519;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-3826";Privado_Privado;NPH;;;
1649690;L11_395;395;395;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-38466";Privado_Privado;NPH;;;
1649343;L11_312;312;312;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6340";"13430";"13430010200000395";;"134300102000003950001000000000";Desenglobe_Division_Material;"064-38467";Privado_Privado;NPH;;;
1649342;L11_313;313;313;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6340";"13430";"13430010200000395";;"134300102000003950001000000000";Desenglobe_Division_Material;"064-38468";Privado_Privado;NPH;;;
1649341;L11_314;314;314;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-6340";"13430";"13430010200000395";;"134300102000003950001000000000";Desenglobe_Division_Material;"064-38469";Privado_Privado;NPH;;;
1649689;L11_396;396;396;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-38484";Privado_Privado;NPH;;;
1649688;L11_397;397;397;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-38485";Privado_Privado;NPH;;;
1649687;L11_398;398;398;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-38503";Privado_Privado;NPH;;;
1649686;L11_399;399;399;BOLÍVAR;MAGANGUÉ;"12/11/2025";;"13430";SIN NPN;;SIN NPN;Predio_Nuevo;"064-38505";Privado_Privado;NPH;;;
1172514;"14173716";126;126;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-38999";"13430";"13430010200000167";;"134300102000001670029000000000";Cancelacion_por_Desenglobe;;;;;;
1649182;L11_144;144;144;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-39001";"13430";SIN NPN;;SIN NPN;Cancelacion_por_Desenglobe;;;;;;
1649182;L11_144;127;127;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-38999";"13430";"13430010200000167";;"134300102000001670029000000000";Desenglobe_Division_Material;"064-39001";Privado_Privado;NPH;;;
1649178;L11_134;131;131;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-38999";"13430";"13430010200000167";;"134300102000001670029000000000";Desenglobe_Division_Material;"064-39002";Privado_Privado;NPH;;;
1649178;L11_134;134;134;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-39002";"13430";SIN NPN;;SIN NPN;Cancelacion_por_Desenglobe;;;;;;
1649183;L11_151;151;151;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-39003";"13430";SIN NPN;;SIN NPN;Cancelacion_por_Desenglobe;;;;;;
1649183;L11_151;132;132;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-38999";"13430";"13430010200000167";;"134300102000001670029000000000";Desenglobe_Division_Material;"064-39003";Privado_Privado;NPH;;;
1649181;L11_170;130;130;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-38999";"13430";"13430010200000167";;"134300102000001670029000000000";Desenglobe_Division_Material;"064-39004";Privado_Privado;NPH;;;
1649181;L11_170;170;170;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-39004";"13430";SIN NPN;;SIN NPN;Cancelacion_por_Desenglobe;;;;;;
1649185;L11_180;180;180;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-39005";"13430";SIN NPN;;SIN NPN;Cancelacion_por_Desenglobe;;;;;;
1649185;L11_180;128;128;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-38999";"13430";"13430010200000167";;"134300102000001670029000000000";Desenglobe_Division_Material;"064-39005";Privado_Privado;NPH;;;
1649426;L11_129;129;129;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-38999";"13430";"13430010200000167";;"134300102000001670029000000000";Desenglobe_Division_Material;"064-39006";Privado_Privado;NPH;;;
1649425;L11_133;133;133;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-38999";"13430";"13430010200000167";;"134300102000001670029000000000";Desenglobe_Division_Material;"064-39007";Privado_Privado;NPH;;;
1649234;L11_148;148;148;BOLÍVAR;MAGANGUÉ;"12/11/2025";"064-39001";"13430";SIN NPN;;SIN NPN;Desenglobe_Division_Material;"064-39008";Privado_Privado;NPH;;;
