"objectid";"id_operacion";"codigo_orip";"matricula_inmobiliaria";"area_catastral_terreno";"numero_predial_nacional";"tipo";"condicion_predio";"destinacion_economica";"area_registral_m2";"tipo_referencia_fmi_antiguo";"coeficiente";"area_coeficiente";"globalid";"predioinformal_guid";"municipio";"referencia_registral";"gdb_geomattr_data";"shape"
1403972;"1544001";"083";"32536";112,00000000;"154690100000001170048000000000";Privado;NPH;Habitacional;;;;;{B4FD5A92-E69C-45F4-82D0-3F06A6221CC4};{00000000-0000-0000-0000-000000000000};;;;POINT (4936582,11205871 2207622,455478401)
1404008;"1544622";"083";"30779";123,00000000;"154690100000001710002000000000";Privado;NPH;Habitacional;;;;;{48C9E4C8-E51E-41BF-A956-BAAE5B24BFC5};{00000000-0000-0000-0000-000000000000};;;;POINT (4937183,275928321 2207085,951529241)
1421424;"1534058";"083";"21764";540,00000000;"154690000000000130802800000200";Privado;Condominio_Unidad_Predial;Agropecuario;;;;;{742671F8-E13A-41AA-864A-9597BCBA786A};{00000000-0000-0000-0000-000000000000};;;;POINT (4933746,734451185 2211540,9347270904)
1099048;"1534519";"083";"24870";780,00000000;"154690000000000140801800000218";Privado;Condominio_Unidad_Predial;Recreacional;;;;;{26CCC316-1864-4D81-9DEB-3C034F351DDD};{00000000-0000-0000-0000-000000000000};;;;POINT (4931051,422682545 2212302,317556507)
1467723;"1542143";;"";59800,00000000;"154690100000000420001000000000";Publico_Fiscal_Patrimonial;NPH;Habitacional;;;;;{C79A1A17-6638-4135-A3FC-0899D93856B4};{00000000-0000-0000-0000-000000000000};;;;POINT (4936685,618756849 2206841,076983734)
1110948;"1543589";;"";5260,00000000;"154690100000000990002000000000";Publico_Fiscal_Patrimonial;NPH;Institucional;;;;;{EFBF0DB0-34E9-4639-9870-98327830D518};{00000000-0000-0000-0000-000000000000};;;;POINT (4936156,621851068 2207014,841965685)
1403821;"1541211";;"";45,00000000;"154690100000000170007000000000";Privado;NPH;Habitacional;;;;;{F23CE577-4032-4FF2-B9BA-3A10C935DB0C};{00000000-0000-0000-0000-000000000000};;;;POINT (4936638,926449317 2207350,500002618)
1052386;"1541003";"083";"10642";701,00000000;"154690100000000080006000000000";Privado;NPH;Habitacional;;;;;{5FE881CE-7B28-42A6-B9F7-5A8415D73476};{00000000-0000-0000-0000-000000000000};;;;POINT (4936572,737179326 2207424,2982642204)
1240662;"1544778";"083";"25537";400,00000000;"154690100000001770801800000067";Privado;Condominio_Unidad_Predial;Habitacional;;;;;{C68E9E0E-6D8F-45D2-8C65-389E3C4127D4};{00000000-0000-0000-0000-000000000000};;;;POINT (4936968,806931049 2206397,9415841093)
1052501;"1543520";"083";"26727";170,00000000;"154690100000000890019000000000";Privado;NPH;Habitacional;;;;;{826EFCFD-93FD-4B86-922C-518CB1721167};{00000000-0000-0000-0000-000000000000};;;;POINT (4936743,09423546 2208154,582581211)
1135955;"1540776";"083";"10356";668,00000000;"154690100000000040006000000000";Privado;NPH;Habitacional;;;;;{F0189C07-188A-4A09-98A6-A53C9945C3C0};{00000000-0000-0000-0000-000000000000};;;;POINT (4936698,4341571275 2207622,8143699085)
1160981;"1535080";"083";"21332";332,00000000;"154690000000000160803800000391";Privado;Condominio_Unidad_Predial;Recreacional;;;;;{78F191A8-5A3D-42B7-8F80-4DDF12E8C318};{00000000-0000-0000-0000-000000000000};;;;POINT (4931757,960530648 2212722,6078991788)
1038170;"1535127";"083";"23929";1226,00000000;"154690000000000160804800000450";Privado;Condominio_Unidad_Predial;Recreacional;;;;;{D8AA82CA-068F-43F9-961E-AA2C059C679D};{00000000-0000-0000-0000-000000000000};;;;POINT (4932894,549784555 2213143,8598864246)
1390559;"1543832";"083";"4735";174,00000000;"154690100000001060028000000000";Privado;NPH;Habitacional;;;;;{57ABA6C9-0494-4E39-B3FD-F37967F0ED59};{00000000-0000-0000-0000-000000000000};;;;POINT (4936532,650784435 2207045,537622434)
1052488;"1543284";"083";"5790";75,00000000;"154690100000000760013000000000";Privado;NPH;Habitacional;;;;;{B638BF68-1DC9-4BAC-8133-228E9954B246};{00000000-0000-0000-0000-000000000000};;;;POINT (4936632,187932288 2206572,678991087)
