"left";"tipo_tipologia";"count"
"13836";Institucional_Tipo_1_5014111;16
"15759";ED_Multifamiliar_Vivienda_VIS_Serie_2_Pisos_9011122;1755
"23675";Institucional_Tipo_1_5014111;81
"15189";Institucional_Tipo_2_5011122;5
"13430";Comercial_Especializado_3_2033133;5
"68745";Residencial_Tipo_0_1002311;10
"13836";Residencial_Tipo_4_1021134;7941
"25001";Comercial_Especializado_3_2033133;1
"66383";Comercial_Intermedio_3_2026532;8
"13836";Institucional_Salud_1_7011121;1
"15842";Institucional_Tipo_6_5011111;1
"15599";Residencial_Tipo_4_1021134;193
"15686";Residencial_Tipo_0_1002311;12
"15759";Institucional_Tipo_5_Prefabricado_5015510;1
"15599";Residencial_Tipo_0_1002311;2
"70124";ED_Servicios_Tipo_1_9026547;11
"50313";Comercial_Especializado_2_2036543;44
"25001";Institucional_Tipo_1_5014111;4
"15189";Comercial_Especializado_1_2023123;7
"68673";Residencial_Tipo_1_1014011;119
"68101";Institucional_Tipo_6_5011111;5
"68861";Institucional_Religioso_Tipo_2_6031132;1
"50313";Institucional_Salud_2_7021132;13
"15686";Comercial_Especializado_1_2023123;50
"13836";ED_Multifamiliar_VIS_Hasta_12_Pisos_9016194;136
"15299";Residencial_Tipo_1_1014011;808
"15686";Residencial_Tipo_3_menos_1004113;304
"15861";ED_Servicios_Tipo_1_9026547;3
"66045";Comercial_Basico_2_2014111;3
"23079";Residencial_Tipo_5_menos_1011115;5
"63401";Residencial_Tipo_3_menos_1004113;6661
"15804";Residencial_Tipo_2_1004122;1642
"66687";Comercial_Especializado_2_2036543;3
"25295";Institucional_Tipo_7_5021132;14
"25772";Institucional_Tipo_6_5011111;30
"15325";Residencial_Tipo_4_menos_1024114;10
"23079";Residencial_Tipo_0_1002311;40
"15804";ED_Servicios_Tipo_1_9026547;5
"66318";Institucional_Tipo_6_5011111;16
"25183";Comercial_Especializado_2_2036543;31
"15469";Institucional_Salud_2_7021132;5
"15469";Residencial_Tipo_1_1014011;925
"68573";Residencial_Tipo_2_1004122;535
"66383";Comercial_Especializado_3_2033133;1
"15299";Residencial_Tipo_3_mas_1011133;765
"66318";Comercial_Intermedio_3_2026532;43
"15380";Residencial_Tipo_5_1021125;1
"13836";Institucional_Tipo_5_Prefabricado_5015510;1
"63401";Institucional_Tipo_2_5011122;7
"66045";Institucional_Tipo_2_5011122;36
"15879";Residencial_Tipo_4_1021134;6
"15686";Residencial_Tipo_1_1014011;413
"50313";Comercial_Intermedio_3_2026532;220
"15469";Institucional_Salud_3_7031173;1
"15761";Comercial_Intermedio_2_2021532;14
"66687";Residencial_Tipo_2_1004122;1328
"63401";Comercial_Especializado_1_2023123;315
"15798";Industrial_Liviana_2_3001121;4
"15804";Institucional_Tipo_5_Prefabricado_5015510;8
"68745";Institucional_Salud_1_7011121;1
"68745";Residencial_Tipo_4_menos_1024114;21
"68573";Institucional_Tipo_6_5011111;7
"70124";Institucional_Tipo_2_5011122;3
"66687";Residencial_Tipo_5_mas_1031135;4
"15664";Residencial_Tipo_5_mas_1031135;1
"15804";Conservacion_Residencial_Sencilla_Tipo_1_4014011;2
"23555";Comercial_Especializado_1_2023123;256
"15759";Comercial_Basico_2_2014111;1
"50313";Industrial_Pesada_2_3033443;11
"66045";Comercial_Intermedio_3_2026532;11
"25183";Institucional_Tipo_7_5021132;7
"66687";Industrial_Liviana_1_3002311;4
"66045";Comercial_Intermedio_1_2021132;24
"13836";Institucional_Salud_3_7031173;5
"66318";Residencial_Tipo_5_menos_1011115;17
"15842";Institucional_Religioso_Tipo_1_6021131;1
"23570";Institucional_Religioso_Tipo_1_6021131;21
"13836";Comercial_Intermedio_2_2021532;549
"63401";Residencial_Tipo_5_menos_1011115;528
"15189";Institucional_Tipo_6_5011111;3
"66045";Industrial_Liviana_1_3002311;17
"15189";Residencial_Tipo_4_1021134;42
"25001";Institucional_Tipo_5_Prefabricado_5015510;2
