"objectid";"id_operacion";"id";"no, fmi";"dirección territorial";"municipio";"fecha_envio_juridico";"folio_matriz";"novedadfmi_tipo";"npnmatriz";"novedad_numero_predial";"folio_derivados";"predio tipo";"condicion prop derivado";"área registral m2";"coeficiente";"área coefieciente"
1640999;L4_443;443;443;BOYACÁ;GUAYATA;2025-09-29;"079-45614";;SIN NPN;Desenglobe_Division_Material;"079-45733";Privado_Privado;NPH;"78";;
1641000;L4_444;444;444;BOYACÁ;GUAYATA;2025-09-29;"079-45614";;SIN NPN;Desenglobe_Division_Material;"079-45734";Privado_Privado;NPH;"78";;
1640977;L4_445;445;445;BOYACÁ;GUAYATA;2025-09-29;"079-45614";;SIN NPN;Desenglobe_Division_Material;"079-45735";Privado_Privado;NPH;"78";;
1640978;L4_446;446;446;BOYACÁ;GUAYATA;2025-09-29;"079-45614";;SIN NPN;Desenglobe_Division_Material;"079-45736";Privado_Privado;NPH;"78";;
1640979;L4_447;447;447;BOYACÁ;GUAYATA;2025-09-29;"079-45614";;SIN NPN;Desenglobe_Division_Material;"079-45737";Privado_Privado;NPH;"78";;
1640980;L4_448;448;448;BOYACÁ;GUAYATA;2025-09-29;"079-45614";;SIN NPN;Desenglobe_Division_Material;"079-45738";Privado_Privado;NPH;"2333.02";;
1640981;L4_449;449;449;BOYACÁ;GUAYATA;2025-09-29;"079-45614";;SIN NPN;Desenglobe_Division_Material;"079-45739";Publico_Uso_Publico;Via;"296.72000000000003";;
1641098;L4_45;45;45;BOYACÁ;RAMIRIQUÍ;2025-09-29;"090-27506";;"155990000000000200486000000000";Desenglobe_Venta_Parcial;"090-61748";Privado_Privado;NPH;"8844.96";;
1640982;L4_450;450;450;BOYACÁ;GUAYATA;2025-09-29;"079-45614";;SIN NPN;Desenglobe_Division_Material;"079-45740";Publico_Uso_Publico;Bien_Uso_Publico;"133.32";;
1640983;L4_451;451;451;BOYACÁ;GUAYATA;2025-09-29;"079-45614";;SIN NPN;Desenglobe_Division_Material;"079-45741";Publico_Uso_Publico;Bien_Uso_Publico;"902.76";;
1638534;L4_452;452;452;BOYACÁ;GUAYATA;2025-09-29;"079-45614";;SIN NPN;Cancelacion_por_Desenglobe;;;;;;
1638534;L4_452;425;425;BOYACÁ;GUAYATA;2025-09-29;"079-31834";;"153250000000000030247000000000";Englobe_Nuevo_FMI;"079-45614";Privado_Privado;NPH;"5222";;
1638534;L4_452;424;424;BOYACÁ;GUAYATA;2025-09-29;"079-13803";;"153250000000000030233000000000";Englobe_Nuevo_FMI;"079-45614";Privado_Privado;NPH;"5222";;
1640886;L4_453;453;453;BOYACÁ;GUAYATA;2025-09-29;"079-15265";;"153250000000000010003000000000";Desenglobe_Division_Material;"079-44342";Privado_Privado;NPH;"7370.3";;
1640888;L4_454;454;454;BOYACÁ;GUAYATA;2025-09-29;"079-15265";;"153250000000000010003000000000";Desenglobe_Division_Material;"079-44343";Privado_Privado;NPH;"4632.2";;
1640887;L4_455;455;455;BOYACÁ;GUAYATA;2025-09-29;"079-15265";;"153250000000000010003000000000";Desenglobe_Division_Material;"079-44345";Privado_Privado;NPH;"4356.1000000000004";;
