"objectid";"id_operacion";"id";"folio_matriz";"novedadfmi_tipo";"npnmatriz";"novedad_numero_predial";"folio_derivados";"predio tipo";"condicion prop derivado";"árearegistralm2";"coeficiente";"área coefieciente";"count"
1638166;"1774947-1085R1127";1127;"095-158803";;SIN NPN;Desenglobe_Division_Material;"095-158823";Privado_Privado;PH_Unidad_Predial;"130";3.72;130.0;1
1638176;"1774947-1085R1122";1122;"095-158803";;SIN NPN;Desenglobe_Division_Material;"095-158824";Privado_Privado;PH_Unidad_Predial;"130";3.72;130.0;1
1638179;"1774947-1085R1125";1125;"095-158803";;SIN NPN;Desenglobe_Division_Material;"095-158825";Privado_Privado;PH_Unidad_Predial;"130";3.72;130.0;1
1638172;"1774947-1085R1118";1118;"095-158803";;SIN NPN;Desenglobe_Division_Material;"095-158826";Privado_Privado;PH_Unidad_Predial;"130";3.72;130.0;1
1638170;"1774947-1085R1116";1116;"095-158803";;SIN NPN;Desenglobe_Division_Material;"095-158827";Privado_Privado;PH_Unidad_Predial;"505";14.44;505.0;1
1638154;L3_-1073R1065;1065;"095-155138";;"157590101000008110009000000000";Desenglobe_Division_Material;"095-159286";Privado_Privado;NPH;"44.57";;;1
1638153;L3_-1073R1066;1066;"095-155138";;"157590101000008110009000000000";Desenglobe_Division_Material;"095-159287";Privado_Privado;NPH;"46.59";;;1
1638150;L3_-1073R1068;1068;"095-155138";;"157590101000008110009000000000";Desenglobe_Division_Material;"095-159288";Privado_Privado;NPH;"106.81";;;1
1638152;L3_-1073R1071;1071;"095-155138";;"157590101000008110009000000000";Desenglobe_Division_Material;"095-159289";Privado_Privado;NPH;"106.61";;;1
1638151;L3_-1073R1067;1067;"095-155138";;"157590101000008110009000000000";Desenglobe_Division_Material;"095-159290";Privado_Privado;NPH;"107.36";;;1
1638156;L3_-1073R1070;1070;"095-155138";;"157590101000008110009000000000";Desenglobe_Division_Material;"095-159291";Privado_Privado;NPH;"174.03";;;1
1638155;L3_-1073R1069;1069;"095-155138";;"157590101000008110009000000000";Desenglobe_Division_Material;"095-159292";Privado_Privado;NPH;"134.08";;;1
1638149;L3_-1073R1072;1072;"095-155138";;"157590101000008110009000000000";Desenglobe_Division_Material;"095-159293";Privado_Privado;NPH;"130.65";;;1
1634865;L3_-1163;1158;"095-62720";;"157590102000005550009000000000";Desenglobe_Division_Material;"095-159338";Privado_Privado;NPH;"471.28";;;1
1634865;L3_-1163;1163;"095-159338";;SIN NPN;Cancelacion_por_Desenglobe;;;;;;;1
1634893;L3_-1167;1167;"095-159339";;SIN NPN;Cancelacion_por_Desenglobe;;;;;;;1
1634893;L3_-1167;1157;"095-62720";;"157590102000005550009000000000";Desenglobe_Division_Material;"095-159339";Privado_Privado;NPH;"471.15";;;1
1638405;"1797463R1571";1571;"095-98165";;"157590101000004710019000000000";Desenglobe_Division_Material;"095-159354";Privado_Privado;PH_Unidad_Predial;"50.18";21.72;50.18;1
1638401;"1797463R1572";1572;"095-98165";;"157590101000004710019000000000";Desenglobe_Division_Material;"095-159355";Privado_Privado;PH_Unidad_Predial;"45.25";19.57;45.25;1
1638402;"1797463R1573";1573;"095-98165";;"157590101000004710019000000000";Desenglobe_Division_Material;"095-159356";Privado_Privado;PH_Unidad_Predial;"45.25";19.57;45.25;1
1638404;"1797463R1574";1574;"095-98165";;"157590101000004710019000000000";Desenglobe_Division_Material;"095-159357";Privado_Privado;PH_Unidad_Predial;"45.25";19.57;45.25;1
1638403;"1797463R1575";1575;"095-98165";;"157590101000004710019000000000";Desenglobe_Division_Material;"095-159358";Privado_Privado;PH_Unidad_Predial;"45.25";19.57;45.25;1
1634930;L3_-2053-2051;2051;"095-146755";;SIN NPN;Englobe_Nuevo_FMI;"095-159566";Privado_Privado;NPH;"206.86";;;1
1634930;L3_-2053-2051;2052;"095-134075";;"157590102000005540002000000000";Englobe_Nuevo_FMI;"095-159566";Privado_Privado;NPH;"206.86";;;1
1273766;"14616824";1413;"095-159574";;"157590101000008880014000000000";Cambio_Numero_Predial_NPH_a_PH;"095-159574";Privado_Privado;PH_Matriz;"103";;;1
1638139;L3_R1590;1590;"095-155132";;SIN NPN;Desenglobe_Division_Material;"095-159880";Privado_Privado;PH_Unidad_Predial;"59.5";15.851;59.5;1
1638147;L3_R1599;1599;"095-155132";;SIN NPN;Desenglobe_Division_Material;"095-159881";Privado_Privado;PH_Unidad_Predial;"12.9";1.35;12.9;1
1638144;L3_R1595;1595;"095-155132";;SIN NPN;Desenglobe_Division_Material;"095-159882";Privado_Privado;PH_Unidad_Predial;"13";1.361;13.0;1
1638142;L3_R1593;1593;"095-155132";;SIN NPN;Desenglobe_Division_Material;"095-159883";Privado_Privado;PH_Unidad_Predial;"12.6";1.319;12.6;1
1638140;L3_R1591;1591;"095-155132";;SIN NPN;Desenglobe_Division_Material;"095-159884";Privado_Privado;PH_Unidad_Predial;"12.9";1.35;12.9;1
1638143;L3_R1594;1594;"095-155132";;SIN NPN;Desenglobe_Division_Material;"095-159885";Privado_Privado;PH_Unidad_Predial;"13.2";1.381;13.2;1
1638148;L3_R1600;1600;"095-155132";;SIN NPN;Desenglobe_Division_Material;"095-159886";Privado_Privado;PH_Unidad_Predial;"78.3";14.154;78.3;1
1638146;L3_R1598;1598;"095-155132";;SIN NPN;Desenglobe_Division_Material;"095-159887";Privado_Privado;PH_Unidad_Predial;"83.1";15.022;83.1;1
1638137;L3_R1597;1597;"095-155132";;SIN NPN;Desenglobe_Division_Material;"095-159888";Privado_Privado;PH_Unidad_Predial;"74.9";13.54;74.9;1
1638145;L3_R1596;1596;"095-155132";;SIN NPN;Desenglobe_Division_Material;"095-159889";Privado_Privado;PH_Unidad_Predial;"76.5";13.829;76.5;1
