id_operacion;no, fmi;dirección territorial;municipio;fecha_envio_juridico;folio_matriz;novedadfmi_tipo;npnmatriz;novedad_numero_predial;folio_derivados;predio tipo;condicion prop derivado;área registral m2;coeficiente;área coefieciente;field15
L5_641;641;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639565;Privado_Privado;NPH;757.85;;;
L5_640;640;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639566;Privado_Privado;NPH;757.85;;;
L5_639;639;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639555;Privado_Privado;NPH;756.45;;;
L5_638;638;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639557;Privado_Privado;NPH;660.49;;;
L5_637;637;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639558;Privado_Privado;NPH;713.28;;;
L5_636;636;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639556;Privado_Privado;NPH;660.5;;;
L5_635;635;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639510;Privado_Privado;NPH;660.25;;;
L5_634;634;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639540;Privado_Privado;NPH;640.71;;;
L5_632;632;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639521;Privado_Privado;NPH;669.91;;;
L5_631;631;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639522;Privado_Privado;NPH;1280.47;;;
L5_630;630;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639523;Privado_Privado;NPH;678.88;;;
L5_629;629;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639524;Privado_Privado;NPH;959.38;;;
L5_628;628;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639525;Privado_Privado;NPH;915.53;;;
L5_627;627;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639520;Privado_Privado;NPH;745.49;;;
L5_626;626;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639572;Privado_Privado;NPH;671.94;;;
L5_625;625;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639519;Privado_Privado;NPH;858.53;;;
L5_624;624;ATLÁNTICO;TUBARÁ;6/10/2025;040-639479;;SIN NPN;Desenglobe_Venta_Parcial;040-639517;Privado_Privado;NPH;819.5;;;
L5_493;493;BOLÍVAR;TURBACO;6/10/2025;060-106604;;1,3836E+29;Desenglobe_Division_Material;060-333134;Privado_Privado;NPH;295.31;;;
L5_495;495;BOLÍVAR;TURBACO;6/10/2025;060-106604;;1,3836E+29;Desenglobe_Division_Material;060-333135;Privado_Privado;NPH;295;;;
L5_494;494;BOLÍVAR;TURBACO;6/10/2025;060-106604;;1,3836E+29;Desenglobe_Division_Material;060-333133;Privado_Privado;NPH;29.410.000.000.000.000;;;
L5_586;586;BOLÍVAR;TURBACO;6/10/2025;060-296309;;1,3836E+29;Desenglobe_Venta_Parcial;060-391361;Publico_Uso_Publico;Bien_Uso_Publico;5757.2;;;
